Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ali,2023-05-16 06:27:33,00:00:04,Autoplayed: user action: None; ,1408: Theatrical Version_hook_02_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-16 06:27:16,00:00:08,Autoplayed: user action: None; ,The Invention of Lying_hook_05_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:08,00:00:08,CA (Canada)
Ali,2023-05-16 06:26:46,00:00:11,Autoplayed: user action: None; ,Season 1 High Context Clip 2: Chimp Empire,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:11,00:00:11,CA (Canada)
Ali,2023-05-16 06:26:41,00:00:04,Autoplayed: user action: None; ,The Suicide Squad (OL Version)_hook_01_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-16 06:26:19,00:00:12,Autoplayed: user action: None; ,Season 7 Sensory Clip: Queer Eye,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:12,00:00:12,CA (Canada)
Ali,2023-05-16 06:25:34,00:00:24,Autoplayed: user action: None; ,Trailer: Anna Nicole Smith: You Don’t Know Me,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:24,00:00:24,CA (Canada)
Ali,2023-05-10 23:46:35,00:00:01,,BEEF: Season 1: Just Not All at the Same Time (Episode 4),,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,Not latest view,CA (Canada)
Ali,2023-05-10 23:13:56,00:32:37,,BEEF: Season 1: I Am Inhabited by a Cry (Episode 3),,LG DTV 2022 LG O22 UHD TV Smart TV,00:32:37,00:32:37,CA (Canada)
Ali,2023-05-10 23:13:35,00:00:05,Autoplayed: user action: None; ,Better Call Saul: Season 3_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,00:00:05,CA (Canada)
Ali,2023-05-10 23:13:21,00:00:10,Autoplayed: user action: None; ,The Butterfly Effect_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-05-10 23:13:14,00:00:05,Autoplayed: user action: None; ,The Butterfly Effect_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,Not latest view,CA (Canada)
Ali,2023-05-02 07:02:26,00:16:59,,BEEF: Season 1: The Rapture of Being Alive (Episode 2),,LG DTV 2022 LG O22 UHD TV Smart TV,00:30:56,00:30:56,CA (Canada)
Ali,2023-05-02 06:51:24,00:00:01,,BEEF: Season 1: The Rapture of Being Alive (Episode 2),,LG DTV 2022 LG O22 UHD TV Smart TV,00:14:23,Not latest view,CA (Canada)
Ali,2023-05-02 06:21:00,00:14:18,,BEEF: Season 1: The Rapture of Being Alive (Episode 2),,LG DTV 2022 LG O22 UHD TV Smart TV,00:14:23,Not latest view,CA (Canada)
Ali,2023-05-02 05:40:56,00:37:08,Autoplayed: user action: User_Interaction; ,"BEEF: Season 1: The Birds Don't Sing, They Screech in Pain (Episode 1)",,LG DTV 2022 LG O22 UHD TV Smart TV,00:36:37,00:36:37,CA (Canada)
Ali,2023-05-02 05:40:20,00:00:06,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: American Manhunt: The Boston Marathon Bombing,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:06,00:00:06,CA (Canada)
Ali,2023-05-02 05:39:28,00:00:10,Autoplayed: user action: None; ,Punisher: War Zone_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-05-02 05:39:21,00:00:04,Autoplayed: user action: None; ,Child 44_hook_02_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-02 05:38:35,00:00:04,Autoplayed: user action: None; ,Jurassic Park_hook_02_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-02 05:38:23,00:00:08,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: BEEF,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:08,00:00:08,CA (Canada)
Ali,2023-05-02 05:38:12,00:00:04,Autoplayed: user action: None; ,Season 2 Moment of High Emotion Clip: Firefly Lane,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-02 05:37:54,00:00:05,Autoplayed: user action: None; ,Comedy Clip: John Mulaney: Baby J,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,00:00:05,CA (Canada)
Ali,2023-03-22 18:53:41,00:00:06,Autoplayed: user action: None; ,Limited Series Trailer: Waco: American Apocalypse,TRAILER,Sony CE Sony Android TV 2021 M5 Smart TV,00:00:06,00:00:06,CA (Canada)
Ali,2023-03-17 03:10:10,00:00:36,Autoplayed: user action: None; ,Teaser 2: Luther: The Fallen Sun,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:36,00:00:36,CA (Canada)
Ali,2023-03-17 03:09:54,00:00:08,Autoplayed: user action: None; ,Vikings: Season 1_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:08,00:00:08,CA (Canada)
Ali,2023-03-17 03:08:51,00:00:41,Autoplayed: user action: None; ,Welcome to Nairobi's Team,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:41,00:00:41,CA (Canada)
Ali,2023-02-22 07:10:08,00:00:32,Autoplayed: user action: None; ,Death Note_hook_primary_16x9,HOOK,Sony PS5,00:00:32,00:00:32,CA (Canada)
Ali,2023-02-22 07:09:32,00:00:33,Autoplayed: user action: None; ,Cliffhanger Clip: All Quiet on the Western Front,HOOK,Sony PS5,00:00:33,00:00:33,CA (Canada)
Ali,2023-02-22 07:09:26,00:00:04,Autoplayed: user action: None; ,Season 2 Plot Clip: Russian Doll,HOOK,Sony PS5,00:00:04,00:00:04,CA (Canada)
Ali,2023-02-22 07:09:19,00:00:02,Autoplayed: user action: None; ,Physical: 100: Season 1: The Pecking Order (Episode 1),,Sony PS5,00:04:36,00:04:36,CA (Canada)
Ali,2023-02-22 07:04:05,00:00:14,Autoplayed: user action: None; ,Brooklyn Nine-Nine: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:14,00:00:14,CA (Canada)
Ali,2023-02-22 07:03:02,00:01:01,Autoplayed: user action: None; ,Narcos: Season 1 (Trailer),TRAILER,Sony PS5,00:01:01,00:01:01,CA (Canada)
Ali,2023-02-22 07:01:09,00:01:44,Autoplayed: user action: None; ,Trailer: I Care a Lot,TRAILER,Sony PS5,00:01:44,00:01:44,CA (Canada)
Ali,2023-02-15 22:07:53,00:00:11,Autoplayed: user action: None; ,Season 2 Trailer: Russian Doll,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:12,00:00:12,CA (Canada)
Ali,2023-02-15 22:07:31,00:00:04,Autoplayed: user action: None; ,Season 1 Relatable Clip: Cunk On Earth,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-02-15 01:16:40,00:19:09,,You: Season 4: The Fox and the Hound (Episode 5),,LG DTV 2022 LG O22 UHD TV Smart TV,00:46:13,00:46:13,CA (Canada)
Ali,2023-02-15 00:35:03,00:27:21,,You: Season 4: The Fox and the Hound (Episode 5),,LG DTV 2022 LG O22 UHD TV Smart TV,00:27:21,Not latest view,CA (Canada)
Ali,2023-02-15 00:31:07,00:00:01,,You: Season 4: The Fox and the Hound (Episode 5),,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:01,Not latest view,CA (Canada)
Ali,2023-02-13 03:46:00,00:50:39,Autoplayed: user action: User_Interaction; ,You: Season 4: Hampsie (Episode 4),,Sony CE Sony Android TV 2021 M5 Smart TV,00:51:38,00:51:38,CA (Canada)
Ali,2023-02-13 03:05:38,00:40:19,,You: Season 4: Eat the Rich (Episode 3),,Sony CE Sony Android TV 2021 M5 Smart TV,00:41:09,00:41:09,CA (Canada)
Ali,2023-02-13 03:05:21,00:00:14,Autoplayed: user action: None; ,Season 3 Genre Specific Moment Clip: You,HOOK,Sony CE Sony Android TV 2021 M5 Smart TV,00:00:14,00:00:14,CA (Canada)
Ali,2023-02-13 03:05:09,00:00:05,Autoplayed: user action: None; ,"Trailer: Pamela, a love story",TRAILER,Sony CE Sony Android TV 2021 M5 Smart TV,00:00:05,00:00:05,CA (Canada)
Ali,2023-02-13 03:04:40,00:00:04,Autoplayed: user action: None; ,Comedians in Cars Getting Coffee: First Cup_hook_primary_16x9,HOOK,Sony CE Sony Android TV 2021 M5 Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-02-13 03:04:17,00:00:03,Autoplayed: user action: None; ,Superstore: Season 1: Shots and Salsa (Episode 3),,Sony CE Sony Android TV 2021 M5 Smart TV,00:05:19,00:05:19,CA (Canada)
Ali,2023-02-11 22:28:35,00:00:04,Autoplayed: user action: None; ,Season 3 Inciting Incident Clip: You,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-02-11 22:10:43,00:17:44,Autoplayed: user action: User_Interaction; ,You: Season 4: Portrait of the Artist (Episode 2),,LG DTV 2022 LG O22 UHD TV Smart TV,00:44:18,00:44:18,CA (Canada)
Ali,2023-02-11 22:10:24,00:00:07,Autoplayed: user action: None; ,Season 1 Sensory Clip: Cunk On Earth,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:07,00:00:07,CA (Canada)
Ali,2023-02-11 08:35:33,00:25:47,Autoplayed: user action: User_Interaction; ,You: Season 4: Portrait of the Artist (Episode 2),,Sony PS5,00:26:34,Not latest view,CA (Canada)
Ali,2023-02-11 07:46:39,00:48:32,Autoplayed: user action: User_Interaction; ,You: Season 4: Joe Takes a Holiday (Episode 1),,Sony PS5,00:49:27,00:49:27,CA (Canada)
Ali,2023-02-11 06:49:03,00:57:31,,You: Season 3: What Is Love? (Episode 10),,Sony PS5,00:57:32,00:57:32,CA (Canada)
Ali,2023-02-11 06:44:02,00:04:43,Autoplayed: user action: User_Interaction; ,Cunk On Earth: Season 1: In The Beginnings (Episode 1),,Sony PS5,00:04:21,00:04:21,CA (Canada)
Ali,2023-02-11 06:43:28,00:00:31,Autoplayed: user action: None; ,Season 1 Sensory Clip: Cunk On Earth,HOOK,Sony PS5,00:00:40,Not latest view,CA (Canada)
Ali,2023-02-11 06:43:14,00:00:09,Autoplayed: user action: None; ,Season 1 Sensory Clip: Cunk On Earth,HOOK,Sony PS5,00:00:09,Not latest view,CA (Canada)
Ali,2023-02-11 02:29:23,00:01:02,Autoplayed: user action: None; ,Season 3 Teaser 1: You,TEASER_TRAILER,Sony PS5,00:01:02,00:01:02,CA (Canada)
Ali,2023-02-11 01:37:37,00:45:00,Autoplayed: user action: User_Interaction; ,You: Season 3: Red Flag (Episode 9),,Sony PS5,00:46:03,00:46:03,CA (Canada)
Ali,2023-02-11 00:48:41,00:48:49,Autoplayed: user action: User_Interaction; ,You: Season 3: Swing and a Miss (Episode 8),,Sony PS5,00:48:54,00:48:54,CA (Canada)
Ali,2023-02-11 00:30:52,00:17:37,,You: Season 3: We're All Mad Here (Episode 7),,Sony PS5,00:48:47,00:48:47,CA (Canada)
Ali,2023-02-09 06:15:51,00:30:35,,You: Season 3: We're All Mad Here (Episode 7),,Sony PS5,00:31:10,Not latest view,CA (Canada)
Ali,2023-02-09 06:15:46,00:00:04,Autoplayed: user action: None; ,You: Season 1 (Trailer),TRAILER,Sony PS5,00:00:04,00:00:04,CA (Canada)
Ali,2023-02-09 06:15:31,00:00:05,Autoplayed: user action: None; ,You: Season 1 (Trailer),TRAILER,Sony PS5,00:00:05,Not latest view,CA (Canada)
Ali,2023-02-09 06:11:50,00:02:55,,Physical: 100: Season 1: The Pecking Order (Episode 1),,Sony PS5,00:04:35,Not latest view,CA (Canada)
Ali,2023-02-09 06:11:38,00:00:10,Autoplayed: user action: None; ,Season 1 Informative Clip 2: Physical: 100,HOOK,Sony PS5,00:00:10,00:00:10,CA (Canada)
Ali,2023-01-28 06:54:02,00:00:30,Autoplayed: user action: None; ,Season 1 Informative Clip 2: Physical: 100,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:30,Not latest view,CA (Canada)
Ali,2023-01-24 06:00:33,00:50:43,Autoplayed: user action: User_Interaction; ,You: Season 3: W.O.M.B. (Episode 6),,LG DTV 2022 LG O22 UHD TV Smart TV,00:50:43,00:50:43,CA (Canada)
Ali,2023-01-24 06:00:17,00:00:05,Autoplayed: user action: None; ,GINNYANDGEORGIA_S1_CLIP_GENRE,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,00:00:05,CA (Canada)
Ali,2023-01-24 05:59:38,00:00:15,Autoplayed: user action: None; ,Season 1 Teaser 2: That '90s Show,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:15,00:00:15,CA (Canada)
Ali,2023-01-20 05:26:06,00:37:50,,Kingdom: Season 1: Episode 6,,LG DTV 2022 LG O22 UHD TV Smart TV,00:39:23,00:39:23,CA (Canada)
Ali,2023-01-20 04:55:18,00:00:24,Autoplayed: user action: User_Interaction; ,Kingdom: Season 1: Episode 6,,LG DTV 2022 LG O22 UHD TV Smart TV,00:01:34,Not latest view,CA (Canada)
Ali,2023-01-18 04:34:54,00:01:24,Autoplayed: user action: User_Interaction; ,The Age of Adaline,,Sony PS5,00:01:24,00:01:24,CA (Canada)
Ali,2023-01-18 04:32:24,00:00:33,Autoplayed: user action: None; ,Dark: Season 2 (Trailer),TRAILER,Sony PS5,00:00:33,00:00:33,CA (Canada)
Ali,2023-01-18 04:32:11,00:00:02,Autoplayed: user action: None; ,Primal Fear,,Sony PS5,00:00:02,00:00:02,CA (Canada)
Ali,2023-01-18 04:29:17,00:00:31,Autoplayed: user action: None; ,The Ballad of Buster Scruggs (Lucky),PROMOTIONAL,Sony PS5,00:00:31,00:00:31,CA (Canada)
Ali,2023-01-17 06:03:45,00:00:21,Autoplayed: user action: None; ,Trailer: The Bubble,TRAILER,Sony PS5,00:00:21,00:00:21,CA (Canada)
Ali,2023-01-17 06:03:35,00:00:06,Autoplayed: user action: None; ,Hook: WHAT DID JACK DO?,HOOK,Sony PS5,00:00:06,00:00:06,CA (Canada)
Ali,2023-01-17 06:03:18,00:00:13,Autoplayed: user action: None; ,1408: Theatrical Version_hook_02_16x9,HOOK,Sony PS5,00:00:13,Not latest view,CA (Canada)
Ali,2023-01-17 06:02:20,00:00:30,Autoplayed: user action: None; ,Sicario_hook_primary_16x9,HOOK,Sony PS5,00:00:30,00:00:30,CA (Canada)
Ali,2023-01-17 06:00:30,00:00:24,Autoplayed: user action: None; ,30 Minutes or Less_hook_01_16x9,HOOK,Sony PS5,00:00:24,00:00:24,CA (Canada)
Ali,2023-01-17 06:00:00,00:00:06,Autoplayed: user action: None; ,Shrek Forever After_hook_primary_16x9,HOOK,Sony PS5,00:00:06,00:00:06,CA (Canada)
Ali,2023-01-17 05:59:37,00:00:18,Autoplayed: user action: None; ,Suburbicon_hook_primary_16x9,HOOK,Sony PS5,00:00:18,00:00:18,CA (Canada)
Ali,2023-01-17 05:58:49,00:00:35,Autoplayed: user action: None; ,Narcos: Season 1 (Trailer),TRAILER,Sony PS5,00:00:35,Not latest view,CA (Canada)
Ali,2023-01-17 05:58:28,00:00:13,Autoplayed: user action: None; ,MINDHUNTER: Season 2 (Trailer),TRAILER,Sony PS5,00:00:13,00:00:13,CA (Canada)
Ali,2023-01-17 05:58:03,00:00:15,Autoplayed: user action: None; ,Red Dragon_hook_primary_16x9,HOOK,Sony PS5,00:00:15,00:00:15,CA (Canada)
Ali,2023-01-17 05:57:17,00:00:28,Autoplayed: user action: None; ,The Change-Up_hook_primary_16x9,HOOK,Sony PS5,00:00:28,00:00:28,CA (Canada)
Ali,2023-01-17 05:51:49,00:05:17,,Superstore: Season 1: Shots and Salsa (Episode 3),,Sony PS5,00:05:17,Not latest view,CA (Canada)
Ali,2023-01-17 05:29:10,00:21:26,Autoplayed: user action: User_Interaction; ,Superstore: Season 1: Magazine Profile (Episode 2),,Sony PS5,00:21:27,00:21:27,CA (Canada)
Ali,2023-01-12 03:54:20,00:21:23,,Superstore: Season 1: Pilot (Episode 1),,Sony PS5,00:21:25,00:21:25,CA (Canada)
Ali,2023-01-12 03:54:06,00:00:06,Autoplayed: user action: None; ,Superstore: Season 1_hook_01_16x9,HOOK,Sony PS5,00:00:06,00:00:06,CA (Canada)
Ali,2023-01-10 07:13:16,00:01:18,Autoplayed: user action: None; ,The Fifth Element_hook_05_16x9,HOOK,Sony PS5,00:01:18,00:01:18,CA (Canada)
Ali,2023-01-10 04:18:53,00:52:21,,Kaleidoscope: Limited Series: Orange (3 Weeks Before the Heist) (Episode 5),,Sony PS5,00:49:08,00:49:08,CA (Canada)
Ali,2023-01-10 03:27:49,00:46:45,,Kaleidoscope: Limited Series: Yellow (6 Weeks Before the Heist) (Episode 2),,Sony PS5,00:45:26,00:45:26,CA (Canada)
Ali,2023-01-10 03:27:15,00:00:21,Autoplayed: user action: None; ,The Walking Dead: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:21,00:00:21,CA (Canada)
Ali,2023-01-09 04:59:43,00:42:42,,Kaleidoscope: Limited Series: Green (7 Years Before the Heist) (Episode 3),,Sony PS5,00:42:43,00:42:43,CA (Canada)
Ali,2023-01-08 06:15:25,02:09:15,,Primal Fear,,Sony PS5,02:07:07,Not latest view,CA (Canada)
